date,demand_quantity,part_id,category,service_center
2023-01-01,134,Part-001 (High Vol),High Moving,South
2023-01-02,158,Part-001 (High Vol),High Moving,South
2023-01-03,160,Part-001 (High Vol),High Moving,South
2023-01-04,174,Part-001 (High Vol),High Moving,South
2023-01-05,153,Part-001 (High Vol),High Moving,South
2023-01-06,156,Part-001 (High Vol),High Moving,South
2023-01-07,158,Part-001 (High Vol),High Moving,South
2023-01-08,154,Part-001 (High Vol),High Moving,South
2023-01-09,130,Part-001 (High Vol),High Moving,South
2023-01-10,185,Part-001 (High Vol),High Moving,South
2023-01-11,183,Part-001 (High Vol),High Moving,South
2023-01-12,149,Part-001 (High Vol),High Moving,South
2023-01-13,165,Part-001 (High Vol),High Moving,South
2023-01-14,160,Part-001 (High Vol),High Moving,South
2023-01-15,159,Part-001 (High Vol),High Moving,South
2023-01-16,136,Part-001 (High Vol),High Moving,South
2023-01-17,157,Part-001 (High Vol),High Moving,South
2023-01-18,174,Part-001 (High Vol),High Moving,South
2023-01-19,201,Part-001 (High Vol),High Moving,South
2023-01-20,166,Part-001 (High Vol),High Moving,South
2023-01-21,160,Part-001 (High Vol),High Moving,South
2023-01-22,147,Part-001 (High Vol),High Moving,South
2023-01-23,143,Part-001 (High Vol),High Moving,South
2023-01-24,164,Part-001 (High Vol),High Moving,South
2023-01-25,151,Part-001 (High Vol),High Moving,South
2023-01-26,135,Part-001 (High Vol),High Moving,South
2023-01-27,126,Part-001 (High Vol),High Moving,South
2023-01-28,137,Part-001 (High Vol),High Moving,South
2023-01-29,130,Part-001 (High Vol),High Moving,South
2023-01-30,136,Part-001 (High Vol),High Moving,South
2023-01-31,131,Part-001 (High Vol),High Moving,South
2023-02-01,140,Part-001 (High Vol),High Moving,South
2023-02-02,114,Part-001 (High Vol),High Moving,South
2023-02-03,150,Part-001 (High Vol),High Moving,South
2023-02-04,175,Part-001 (High Vol),High Moving,South
2023-02-05,152,Part-001 (High Vol),High Moving,South
2023-02-06,139,Part-001 (High Vol),High Moving,South
2023-02-07,150,Part-001 (High Vol),High Moving,South
2023-02-08,123,Part-001 (High Vol),High Moving,South
2023-02-09,117,Part-001 (High Vol),High Moving,South
2023-02-10,155,Part-001 (High Vol),High Moving,South
2023-02-11,138,Part-001 (High Vol),High Moving,South
2023-02-12,128,Part-001 (High Vol),High Moving,South
2023-02-13,138,Part-001 (High Vol),High Moving,South
2023-02-14,137,Part-001 (High Vol),High Moving,South
2023-02-15,159,Part-001 (High Vol),High Moving,South
2023-02-16,169,Part-001 (High Vol),High Moving,South
2023-02-17,176,Part-001 (High Vol),High Moving,South
2023-02-18,179,Part-001 (High Vol),High Moving,South
2023-02-19,179,Part-001 (High Vol),High Moving,South
2023-02-20,167,Part-001 (High Vol),High Moving,South
2023-02-21,162,Part-001 (High Vol),High Moving,South
2023-02-22,150,Part-001 (High Vol),High Moving,South
2023-02-23,191,Part-001 (High Vol),High Moving,South
2023-02-24,172,Part-001 (High Vol),High Moving,South
2023-02-25,169,Part-001 (High Vol),High Moving,South
2023-02-26,193,Part-001 (High Vol),High Moving,South
2023-02-27,161,Part-001 (High Vol),High Moving,South
2023-02-28,186,Part-001 (High Vol),High Moving,South
2023-03-01,177,Part-001 (High Vol),High Moving,South
2023-03-02,155,Part-001 (High Vol),High Moving,South
2023-03-03,167,Part-001 (High Vol),High Moving,South
2023-03-04,181,Part-001 (High Vol),High Moving,South
2023-03-05,176,Part-001 (High Vol),High Moving,South
2023-03-06,184,Part-001 (High Vol),High Moving,South
2023-03-07,164,Part-001 (High Vol),High Moving,South
2023-03-08,206,Part-001 (High Vol),High Moving,South
2023-03-09,139,Part-001 (High Vol),High Moving,South
2023-03-10,144,Part-001 (High Vol),High Moving,South
2023-03-11,147,Part-001 (High Vol),High Moving,South
2023-03-12,124,Part-001 (High Vol),High Moving,South
2023-03-13,159,Part-001 (High Vol),High Moving,South
2023-03-14,155,Part-001 (High Vol),High Moving,South
2023-03-15,140,Part-001 (High Vol),High Moving,South
2023-03-16,130,Part-001 (High Vol),High Moving,South
2023-03-17,115,Part-001 (High Vol),High Moving,South
2023-03-18,125,Part-001 (High Vol),High Moving,South
2023-03-19,148,Part-001 (High Vol),High Moving,South
