date,demand_quantity,part_id,category,service_center
2023-01-01,119,Part-001 (High Vol),High Moving,North
2023-01-02,131,Part-001 (High Vol),High Moving,North
2023-01-03,146,Part-001 (High Vol),High Moving,North
2023-01-04,105,Part-001 (High Vol),High Moving,North
2023-01-05,139,Part-001 (High Vol),High Moving,North
2023-01-06,134,Part-001 (High Vol),High Moving,North
2023-01-07,110,Part-001 (High Vol),High Moving,North
2023-01-08,139,Part-001 (High Vol),High Moving,North
2023-01-09,141,Part-001 (High Vol),High Moving,North
2023-01-10,145,Part-001 (High Vol),High Moving,North
2023-01-11,148,Part-001 (High Vol),High Moving,North
2023-01-12,143,Part-001 (High Vol),High Moving,North
2023-01-13,138,Part-001 (High Vol),High Moving,North
2023-01-14,159,Part-001 (High Vol),High Moving,North
2023-01-15,155,Part-001 (High Vol),High Moving,North
2023-01-16,127,Part-001 (High Vol),High Moving,North
2023-01-17,143,Part-001 (High Vol),High Moving,North
2023-01-18,131,Part-001 (High Vol),High Moving,North
2023-01-19,150,Part-001 (High Vol),High Moving,North
2023-01-20,113,Part-001 (High Vol),High Moving,North
2023-01-21,130,Part-001 (High Vol),High Moving,North
2023-01-22,122,Part-001 (High Vol),High Moving,North
2023-01-23,123,Part-001 (High Vol),High Moving,North
2023-01-24,115,Part-001 (High Vol),High Moving,North
2023-01-25,118,Part-001 (High Vol),High Moving,North
2023-01-26,127,Part-001 (High Vol),High Moving,North
2023-01-27,119,Part-001 (High Vol),High Moving,North
2023-01-28,125,Part-001 (High Vol),High Moving,North
2023-01-29,86,Part-001 (High Vol),High Moving,North
2023-01-30,117,Part-001 (High Vol),High Moving,North
2023-01-31,128,Part-001 (High Vol),High Moving,North
2023-02-01,113,Part-001 (High Vol),High Moving,North
2023-02-02,116,Part-001 (High Vol),High Moving,North
2023-02-03,135,Part-001 (High Vol),High Moving,North
2023-02-04,123,Part-001 (High Vol),High Moving,North
2023-02-05,100,Part-001 (High Vol),High Moving,North
