date,demand_quantity,part_id,category,service_center
2023-01-01,136,Part-001 (High Vol),High Moving,South
2023-01-02,174,Part-001 (High Vol),High Moving,South
2023-01-03,157,Part-001 (High Vol),High Moving,South
2023-01-04,145,Part-001 (High Vol),High Moving,South
2023-01-05,127,Part-001 (High Vol),High Moving,South
2023-01-06,172,Part-001 (High Vol),High Moving,South
2023-01-07,156,Part-001 (High Vol),High Moving,South
2023-01-08,161,Part-001 (High Vol),High Moving,South
2023-01-09,178,Part-001 (High Vol),High Moving,South
2023-01-10,166,Part-001 (High Vol),High Moving,South
2023-01-11,179,Part-001 (High Vol),High Moving,South
2023-01-12,168,Part-001 (High Vol),High Moving,South
2023-01-13,156,Part-001 (High Vol),High Moving,South
2023-01-14,163,Part-001 (High Vol),High Moving,South
2023-01-15,160,Part-001 (High Vol),High Moving,South
2023-01-16,174,Part-001 (High Vol),High Moving,South
2023-01-17,166,Part-001 (High Vol),High Moving,South
2023-01-18,140,Part-001 (High Vol),High Moving,South
2023-01-19,166,Part-001 (High Vol),High Moving,South
2023-01-20,152,Part-001 (High Vol),High Moving,South
2023-01-21,160,Part-001 (High Vol),High Moving,South
2023-01-22,151,Part-001 (High Vol),High Moving,South
2023-01-23,137,Part-001 (High Vol),High Moving,South
2023-01-24,139,Part-001 (High Vol),High Moving,South
2023-01-25,145,Part-001 (High Vol),High Moving,South
2023-01-26,136,Part-001 (High Vol),High Moving,South
2023-01-27,140,Part-001 (High Vol),High Moving,South
2023-01-28,119,Part-001 (High Vol),High Moving,South
2023-01-29,126,Part-001 (High Vol),High Moving,South
2023-01-30,118,Part-001 (High Vol),High Moving,South
2023-01-31,132,Part-001 (High Vol),High Moving,South
2023-02-01,130,Part-001 (High Vol),High Moving,South
2023-02-02,125,Part-001 (High Vol),High Moving,South
2023-02-03,123,Part-001 (High Vol),High Moving,South
2023-02-04,146,Part-001 (High Vol),High Moving,South
2023-02-05,132,Part-001 (High Vol),High Moving,South
2023-02-06,112,Part-001 (High Vol),High Moving,South
2023-02-07,126,Part-001 (High Vol),High Moving,South
2023-02-08,116,Part-001 (High Vol),High Moving,South
2023-02-09,136,Part-001 (High Vol),High Moving,South
2023-02-10,149,Part-001 (High Vol),High Moving,South
2023-02-11,140,Part-001 (High Vol),High Moving,South
2023-02-12,124,Part-001 (High Vol),High Moving,South
2023-02-13,151,Part-001 (High Vol),High Moving,South
2023-02-14,143,Part-001 (High Vol),High Moving,South
2023-02-15,138,Part-001 (High Vol),High Moving,South
2023-02-16,184,Part-001 (High Vol),High Moving,South
2023-02-17,174,Part-001 (High Vol),High Moving,South
2023-02-18,151,Part-001 (High Vol),High Moving,South
2023-02-19,165,Part-001 (High Vol),High Moving,South
2023-02-20,163,Part-001 (High Vol),High Moving,South
2023-02-21,151,Part-001 (High Vol),High Moving,South
2023-02-22,168,Part-001 (High Vol),High Moving,South
2023-02-23,154,Part-001 (High Vol),High Moving,South
2023-02-24,201,Part-001 (High Vol),High Moving,South
2023-02-25,162,Part-001 (High Vol),High Moving,South
2023-02-26,155,Part-001 (High Vol),High Moving,South
2023-02-27,185,Part-001 (High Vol),High Moving,South
2023-02-28,157,Part-001 (High Vol),High Moving,South
2023-03-01,165,Part-001 (High Vol),High Moving,South
2023-03-02,157,Part-001 (High Vol),High Moving,South
2023-03-03,161,Part-001 (High Vol),High Moving,South
2023-03-04,131,Part-001 (High Vol),High Moving,South
2023-03-05,137,Part-001 (High Vol),High Moving,South
2023-03-06,154,Part-001 (High Vol),High Moving,South
2023-03-07,153,Part-001 (High Vol),High Moving,South
2023-03-08,153,Part-001 (High Vol),High Moving,South
2023-03-09,156,Part-001 (High Vol),High Moving,South
2023-03-10,160,Part-001 (High Vol),High Moving,South
2023-03-11,145,Part-001 (High Vol),High Moving,South
2023-03-12,120,Part-001 (High Vol),High Moving,South
2023-03-13,157,Part-001 (High Vol),High Moving,South
2023-03-14,122,Part-001 (High Vol),High Moving,South
2023-03-15,115,Part-001 (High Vol),High Moving,South
2023-03-16,125,Part-001 (High Vol),High Moving,South
2023-03-17,130,Part-001 (High Vol),High Moving,South
2023-03-18,133,Part-001 (High Vol),High Moving,South
2023-03-19,120,Part-001 (High Vol),High Moving,South
2023-03-20,128,Part-001 (High Vol),High Moving,South
2023-03-21,116,Part-001 (High Vol),High Moving,South
2023-03-22,143,Part-001 (High Vol),High Moving,South
2023-03-23,151,Part-001 (High Vol),High Moving,South
2023-03-24,118,Part-001 (High Vol),High Moving,South
2023-03-25,113,Part-001 (High Vol),High Moving,South
2023-03-26,146,Part-001 (High Vol),High Moving,South
2023-03-27,145,Part-001 (High Vol),High Moving,South
2023-03-28,147,Part-001 (High Vol),High Moving,South
2023-03-29,153,Part-001 (High Vol),High Moving,South
2023-03-30,138,Part-001 (High Vol),High Moving,South
2023-03-31,138,Part-001 (High Vol),High Moving,South
2023-04-01,138,Part-001 (High Vol),High Moving,South
2023-04-02,159,Part-001 (High Vol),High Moving,South
2023-04-03,168,Part-001 (High Vol),High Moving,South
2023-04-04,176,Part-001 (High Vol),High Moving,South
2023-04-05,178,Part-001 (High Vol),High Moving,South
2023-04-06,184,Part-001 (High Vol),High Moving,South
2023-04-07,171,Part-001 (High Vol),High Moving,South
2023-04-08,141,Part-001 (High Vol),High Moving,South
2023-04-09,158,Part-001 (High Vol),High Moving,South
2023-04-10,203,Part-001 (High Vol),High Moving,South
2023-04-11,194,Part-001 (High Vol),High Moving,South
2023-04-12,154,Part-001 (High Vol),High Moving,South
2023-04-13,192,Part-001 (High Vol),High Moving,South
2023-04-14,152,Part-001 (High Vol),High Moving,South
2023-04-15,163,Part-001 (High Vol),High Moving,South
2023-04-16,181,Part-001 (High Vol),High Moving,South
2023-04-17,166,Part-001 (High Vol),High Moving,South
