date,demand_quantity,part_id,category,service_center
2023-01-01,263,Part-001 (High Vol),High Moving,South
2023-01-02,297,Part-001 (High Vol),High Moving,South
2023-01-03,343,Part-001 (High Vol),High Moving,South
2023-01-04,290,Part-001 (High Vol),High Moving,South
2023-01-05,291,Part-001 (High Vol),High Moving,South
2023-01-06,310,Part-001 (High Vol),High Moving,South
2023-01-07,294,Part-001 (High Vol),High Moving,South
2023-01-08,297,Part-001 (High Vol),High Moving,South
2023-01-09,310,Part-001 (High Vol),High Moving,South
2023-01-10,312,Part-001 (High Vol),High Moving,South
2023-01-11,281,Part-001 (High Vol),High Moving,South
2023-01-12,285,Part-001 (High Vol),High Moving,South
2023-01-13,317,Part-001 (High Vol),High Moving,South
2023-01-14,319,Part-001 (High Vol),High Moving,South
2023-01-15,340,Part-001 (High Vol),High Moving,South
2023-01-16,308,Part-001 (High Vol),High Moving,South
2023-01-17,308,Part-001 (High Vol),High Moving,South
2023-01-18,312,Part-001 (High Vol),High Moving,South
2023-01-19,303,Part-001 (High Vol),High Moving,South
2023-01-20,311,Part-001 (High Vol),High Moving,South
2023-01-21,292,Part-001 (High Vol),High Moving,South
2023-01-22,306,Part-001 (High Vol),High Moving,South
2023-01-23,278,Part-001 (High Vol),High Moving,South
2023-01-24,301,Part-001 (High Vol),High Moving,South
2023-01-25,287,Part-001 (High Vol),High Moving,South
2023-01-26,277,Part-001 (High Vol),High Moving,South
2023-01-27,282,Part-001 (High Vol),High Moving,South
2023-01-28,307,Part-001 (High Vol),High Moving,South
2023-01-29,263,Part-001 (High Vol),High Moving,South
2023-01-30,261,Part-001 (High Vol),High Moving,South
2023-01-31,258,Part-001 (High Vol),High Moving,South
2023-02-01,270,Part-001 (High Vol),High Moving,South
2023-02-02,279,Part-001 (High Vol),High Moving,South
2023-02-03,259,Part-001 (High Vol),High Moving,South
2023-02-04,285,Part-001 (High Vol),High Moving,South
2023-02-05,303,Part-001 (High Vol),High Moving,South
2023-02-06,275,Part-001 (High Vol),High Moving,South
2023-02-07,283,Part-001 (High Vol),High Moving,South
2023-02-08,261,Part-001 (High Vol),High Moving,South
2023-02-09,295,Part-001 (High Vol),High Moving,South
2023-02-10,315,Part-001 (High Vol),High Moving,South
2023-02-11,282,Part-001 (High Vol),High Moving,South
2023-02-12,275,Part-001 (High Vol),High Moving,South
2023-02-13,264,Part-001 (High Vol),High Moving,South
2023-02-14,296,Part-001 (High Vol),High Moving,South
2023-02-15,261,Part-001 (High Vol),High Moving,South
2023-02-16,304,Part-001 (High Vol),High Moving,South
2023-02-17,303,Part-001 (High Vol),High Moving,South
2023-02-18,319,Part-001 (High Vol),High Moving,South
2023-02-19,298,Part-001 (High Vol),High Moving,South
2023-02-20,322,Part-001 (High Vol),High Moving,South
2023-02-21,309,Part-001 (High Vol),High Moving,South
2023-02-22,314,Part-001 (High Vol),High Moving,South
2023-02-23,300,Part-001 (High Vol),High Moving,South
2023-02-24,297,Part-001 (High Vol),High Moving,South
2023-02-25,324,Part-001 (High Vol),High Moving,South
2023-02-26,302,Part-001 (High Vol),High Moving,South
2023-02-27,316,Part-001 (High Vol),High Moving,South
2023-02-28,324,Part-001 (High Vol),High Moving,South
2023-03-01,316,Part-001 (High Vol),High Moving,South
2023-03-02,317,Part-001 (High Vol),High Moving,South
2023-03-03,289,Part-001 (High Vol),High Moving,South
2023-03-04,303,Part-001 (High Vol),High Moving,South
2023-03-05,318,Part-001 (High Vol),High Moving,South
2023-03-06,307,Part-001 (High Vol),High Moving,South
2023-03-07,287,Part-001 (High Vol),High Moving,South
2023-03-08,318,Part-001 (High Vol),High Moving,South
2023-03-09,312,Part-001 (High Vol),High Moving,South
2023-03-10,303,Part-001 (High Vol),High Moving,South
2023-03-11,301,Part-001 (High Vol),High Moving,South
2023-03-12,299,Part-001 (High Vol),High Moving,South
2023-03-13,276,Part-001 (High Vol),High Moving,South
2023-03-14,308,Part-001 (High Vol),High Moving,South
2023-03-15,295,Part-001 (High Vol),High Moving,South
2023-03-16,279,Part-001 (High Vol),High Moving,South
2023-03-17,281,Part-001 (High Vol),High Moving,South
2023-03-18,275,Part-001 (High Vol),High Moving,South
2023-03-19,275,Part-001 (High Vol),High Moving,South
2023-03-20,273,Part-001 (High Vol),High Moving,South
2023-03-21,285,Part-001 (High Vol),High Moving,South
2023-03-22,263,Part-001 (High Vol),High Moving,South
2023-03-23,281,Part-001 (High Vol),High Moving,South
2023-03-24,285,Part-001 (High Vol),High Moving,South
2023-03-25,278,Part-001 (High Vol),High Moving,South
2023-03-26,259,Part-001 (High Vol),High Moving,South
2023-03-27,294,Part-001 (High Vol),High Moving,South
2023-03-28,283,Part-001 (High Vol),High Moving,South
2023-03-29,294,Part-001 (High Vol),High Moving,South
2023-03-30,317,Part-001 (High Vol),High Moving,South
2023-03-31,313,Part-001 (High Vol),High Moving,South
2023-04-01,280,Part-001 (High Vol),High Moving,South
2023-04-02,313,Part-001 (High Vol),High Moving,South
2023-04-03,297,Part-001 (High Vol),High Moving,South
2023-04-04,315,Part-001 (High Vol),High Moving,South
2023-04-05,313,Part-001 (High Vol),High Moving,South
2023-04-06,313,Part-001 (High Vol),High Moving,South
2023-04-07,316,Part-001 (High Vol),High Moving,South
2023-04-08,338,Part-001 (High Vol),High Moving,South
2023-04-09,328,Part-001 (High Vol),High Moving,South
2023-04-10,348,Part-001 (High Vol),High Moving,South
2023-04-11,319,Part-001 (High Vol),High Moving,South
2023-04-12,330,Part-001 (High Vol),High Moving,South
2023-04-13,314,Part-001 (High Vol),High Moving,South
2023-04-14,333,Part-001 (High Vol),High Moving,South
2023-04-15,332,Part-001 (High Vol),High Moving,South
2023-04-16,292,Part-001 (High Vol),High Moving,South
2023-04-17,302,Part-001 (High Vol),High Moving,South
2023-04-18,306,Part-001 (High Vol),High Moving,South
2023-04-19,301,Part-001 (High Vol),High Moving,South
2023-04-20,304,Part-001 (High Vol),High Moving,South
